	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
2715	382	B0000223N9	A19D2SBM4FLBT7	Tools & Home Improvement	6	The only negative is the blade that ships with the riser block - its not very good.	1.0	Warning	yes	before		16
2716	382	B0000223N9	A19D2SBM4FLBT7	Tools & Home Improvement	7	Buy yourself a selection of Timber Wolf blades to use for resawing.	1.0	Complementary product	yes	both		12
2728	383	B0000223NA	A2E7JL6JDYPW06	Tools & Home Improvement	10	If you are a full time professional woodworker you are probably going to want something more robust, if you can afford it.	1.0	Usage	yes	before		22
2786	390	B0000223OK	A2ZMTRNG7Z30M8	Tools & Home Improvement	4	This motor is maybe more annoying than a plastic mower.	1.0	Warning	yes	before		10
2861	398	B0000223R2	A2599YTN2YMDDT	Tools & Home Improvement	4	My only beef is that the wood handle comes prefinished so that you cannot glue the end caps on unless you use gorilla glue or something similar.	1.0	Workaround	yes	after		28
2863	399	B0000223R3	A33P9AWYR79336	Tools & Home Improvement	2	Wooden handle terrible never stays together.	1.0	Warning	yes	before		6
2877	403	B0000223SK	A3B63RR2GS9DEO	Tools & Home Improvement	7	For precise sanding, stick a piece of this paper at the very edge/corner/whatever of a sanding block, and you use the straight edge to get into tight corners, etc.3.	1.0	Usage	yes	after		27
2879	403	B0000223SK	A3B63RR2GS9DEO	Tools & Home Improvement	9	Stick a piece of the paper to a piece of wood and clamp that wood to your workbench.	1.0	Usage	no	after		18
2881	403	B0000223SK	A3B63RR2GS9DEO	Tools & Home Improvement	11	Hint: cut a piece or two of the paper and adhere to the top side of the piece you are sanding.	1.0	Usage	no	after		21
2904	406	B0000223T6	A14JBDSWKPKTZA	Tools & Home Improvement	11	I simply attach a 2 1/2 vac hose to the dust port on my Bosch, which is way smaller than that, so a lot of air escapes.	1.0	Workaround	no	after		25
2906	406	B0000223T6	A14JBDSWKPKTZA	Tools & Home Improvement	13	It is still recommended to wear a mask because the shop vacs only capture to a micron or so.	1.0	Usage	yes	after		19
2909	406	B0000223T6	A14JBDSWKPKTZA	Tools & Home Improvement	16	A good respirator, not a paper mask is advisable.	1.0	Usage	no	after		9
2921	408	B0000223T8	A3U7OAGFZNEYDN	Tools & Home Improvement	1	It seems as though these discs dont last as long as the editorial sais.	1.0	Warning	no	before		14
2987	415	B0000223UD	A3MR51MDYU0KXJ	Tools & Home Improvement	8	It leaves an ugly white coating on anything you spray it on.	1.0	Warning	yes	before		12
2997	417	B0000223US	A12UW3F02MH7LP	Tools & Home Improvement	4	Dries yellow, so you need to be sure to clean up any runs or overages.	1.0	Usage	yes	after		15
3067	424	B0000223VN	A3DJZ96BIN2JH	Tools & Home Improvement	3	It is well shaped for the purpose, and I use mine occaisionally, but I caution that it is plastic and can suddenly slip sideways on wood.	1.0	Warning	yes	after		26
3096	428	B0000223VT	A1J0GL9HCA7ELW	Tools & Home Improvement	3	The only thing you have to watch is that it does diminish your depth of cut on the table saw.	1.0	Warning	yes	after		20
3097	428	B0000223VT	A1J0GL9HCA7ELW	Tools & Home Improvement	4	"I still  have over 2"" of cut which is satisfactory for most of my applications."	1.0	Workaround	no	after		14
3110	431	B0000223VZ	A1J0GL9HCA7ELW	Tools & Home Improvement	5	If it is off just a little, slip in one or more of the supplied  plastic shims to acheive perfection!	1.0	Usage	yes	after		20
3202	441	B0000223YJ	A3MR51MDYU0KXJ	Tools & Home Improvement	6	Use a heat gun or a hair drier to slowely heat up the hose and then position it however you need to.	1.0	Workaround	no	both		22
3210	444	B0000223YV	A1J0GL9HCA7ELW	Tools & Home Improvement	3	You can also use a nut driver or socket wrench to get them REALLY tight, tighter than just using a screwdriver.	1.0	Workaround	yes	after		21
3211	444	B0000223YV	A1J0GL9HCA7ELW	Tools & Home Improvement	4	If you are using Woodstock International hose, use these clamps.	1.0	Other	yes	both		10
3228	447	B00002240J	A3P09N99T4VIXZ	Tools & Home Improvement	9	The clamp barely works for 1 1/2  material.	1.0	Warning	no	before		6
3238	448	B00002240N	A14JBDSWKPKTZA	Tools & Home Improvement	6	Consequently you do not need to pre-drill unless you are using them close to an edge of a soft wood.	1.0	Usage	no	after		19
3253	448	B00002240N	A14JBDSWKPKTZA	Tools & Home Improvement	21	"If you are thinking about buying the screws, I recommend you getting the coarse and fine screws in the 1 1/4"" format, since they are useful for joining 3/4"" wood."	1.0	Usage	no	after		27
3408	471	B00002244S	A1J0GL9HCA7ELW	Tools & Home Improvement	6	Because of its size, this clamp does have some limitations; it cannot hold a great deal of weight or generate great amounts of pressure.	1.0	Warning	yes	before		25
3430	474	B000022458	A1ILJCF068QU27	Tools & Home Improvement	5	There is no lock mechanism to keep the sliding head in place and a tap in the wrong direction will set the head free until it is tightened down.	1.0	Warning	yes	both		29
3523	488	B0000224AY	A246U22NIXMPHJ	Tools & Home Improvement	8	You can use these bits for drilling wood and plastic, as well as metal.	1.0	Usage	yes	both		14
3589	493	B0000224B8	AJDF3AC49T65B	Tools & Home Improvement	4	I keep a little pressure on the heads for storage.	1.0	Usage	no	after		10
3595	494	B0000224B9	A3L4JR2VB2RNLF	Tools & Home Improvement	5	One more note -- buy the body blocks.	1.0	Usage	no	after		7
3658	499	B0000224BQ	AAGERMD1WPZ67	Tools & Home Improvement	4	Be sure to immediately remove any glue drippings that finds its way to the bar or the next time you go to move the head it will hang up.	1.0	Maintenance	yes	both		29
3667	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	4	I do use wood strips to pad the jaws, otherwise they can damage  wood under pressure.	1.0	Usage	yes	after		16
3671	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	8	"I bought a dozen when I found them on sale that way and mounted them on three different lengths of pipe: 28"", 40"" and 52""."	1.0	Usage	no	after		22
3673	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	10	"I also threaded both  ends of the pipe, so with 3/4"" pipe connectors, the possibilities are  expanded."	1.0	Usage	yes	after		16
3674	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	11	I do use wood strips to pad the jaws, otherwise they can damage  wood under pressure.	1.0	Usage	yes	after		16
3676	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	13	With a simple 2x4 rack, I can  glue up wide panels with them.	1.0	Usage	no	after		12
3752	512	B0000224R9	A3GJ25QG91UI9Y	Tools & Home Improvement	2	This model is larger, has more features and better work surface - can actually be used as a workbench when all 3 panels are in place.	1.0	Alternative use	yes	before		24
3757	513	B0000224RN	A3HSLGGLE9M30	Tools & Home Improvement	2	Dont bother trying to get in touch with them or look for them locally or even bother with their website as theyre all horrible options.	1.0	Other	yes	before		25
3788	517	B0000224TY	A1J0GL9HCA7ELW	Tools & Home Improvement	4	The one caution: when using the cats paw end, wear a leather glove to protect the palm of your hand from the sharp corners of the wide blade when yanking on it.	1.0	Warning	yes	after		32
3790	517	B0000224TY	A1J0GL9HCA7ELW	Tools & Home Improvement	6	The heel of the cats paw also can be used as a tack hammer.	1.0	Alternative use	yes	both		14
3797	517	B0000224TY	A1J0GL9HCA7ELW	Tools & Home Improvement	13	The one caution: when using the cats paw end, wear a leather glove to protect the palm of your hand from the sharp corners of the wide blade when yanking on it.	1.0	Warning	yes	after		32
3809	519	B0000224UX	AROQYA6UJO5UH	Tools & Home Improvement	2	it is longer than a normal one and this gives you more leverage which is very nice.	1.0	Size	yes	before		17
3811	519	B0000224UX	AROQYA6UJO5UH	Tools & Home Improvement	4	if your a framer or carpenter this will be a new favorite tool.	1.0	Population segment	yes	both		13
3838	525	B0000225E1	A3B7VQBL6KA86F	Tools & Home Improvement	3	It was very aggravating because I cannot coil this hose up for storage or to hang it on the wall - regardless if its under air pressure or not.	1.0	Warning	no	before		29
3881	531	B0000225P8	A2185N1MYZC1QX	Tools & Home Improvement	4	Avoid if you are a carpenter you will be pulling your tip out of every screw.	1.0	Warning	yes	before		16
3895	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	5	The brackets are about an inch closer together than the holes, which means one bracket slides on completely while the other is barely over the hole.	1.0	Warning	yes	both		26
3907	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	17	The way you use the micro-adjuster is you lock the fence down with the small lever, then release the big lever.	1.0	Usage	no	after		20
3909	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	19	When you have dialed in the correct distance, you then lock the big lever down and unlock the small lever.	1.0	Usage	yes	after		20
3910	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	20	The micro-adjuster locking mechanism on mine slips very easily, however.	1.0	Warning	yes	after		9
3911	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	21	When I lock the small lever down and start dialing, sometimes the fence stays put and the micro-adjuster moves.	1.0	Warning	yes	after		18
3912	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	22	If I push the fence from side to side while the small lever is locked down, it moves with little effort.	1.0	Workaround	no	after		21
3925	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	8	Its not that critical to get it exactly 3.5 inches from the top of the table, since the bolt holes are slotted in the main bracket.	1.0	Usage	no	after		25
3927	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	10	You will need to remove the stock outfeed table, but not the bottom bracket as it doesnt interfere with the HTC bracket.3.	1.0	Usage	yes	after		21
3928	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	11	Take the advise on deburring the holes in the instructions seriously.	1.0	Usage	no	after		11
3930	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	13	When installing the far bolt to secure the bottom of the main bracket to the cabinet, I found it useful to tape the bolt onto the bracket on the outside and then ease the nut on from the inside.5.	1.0	Usage	yes	after		38
3931	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	14	Remove the insert and the blade from the saw before attaching the main bracket.6.	1.0	Usage	yes	after		13
3932	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	15	Be sure to examine all of the hardware before starting, if you are missing some of the hardware it isnt worth starting the project until you have it all.7.	1.0	Usage	yes	after		28
3933	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	16	If you also have the overarm guard from HTC on your 22124, be prepared to find out that it interferes with the door to the cabinet.	1.0	Usage	no	after		25
3935	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	18	Also, if you have the overarm guard installed, you will have to modify the instructions on installing the supporting rod.	1.0	Usage	yes	after		20
3991	537	B00002269E	A14JBDSWKPKTZA	Tools & Home Improvement	49	The perfectly flat ride, will not dig, and gives you the maximum work surface at one time.	1.0	Usage	no	after		17
4025	542	B00002N5O6	A2WD3G8KAUD4YZ	Tools & Home Improvement	1	I dont do much roof framing, but for cutting studs square or on the 45, these are great for running your circular saw base against to make a straight cut.	1.0	Usage	yes	both		29
4047	550	B00002N6IZ	A3P5LU2F4D5RZR	Tools & Home Improvement	2	Would recommend you use a large paint roller pan though.	1.0	Warning	yes	both		10
4053	552	B00002N6MI	A2XRPG1CDV5D6U	Tools & Home Improvement	3	Important to get proper orientation in the tank.	1.0	First time use	yes	both		8
4079	557	B00002N7S0	A2DUGL0KGPRPT9	Tools & Home Improvement	4	Changing tips is a bit of a hassel, and somebody at Weller needs to revisit that engineering, but its overall a very nice tool for what it does.	1.0	Warning	yes	before		28
4096	562	B00002N8YQ	A19RW25Q6206I3	Tools & Home Improvement	2	Some tips for the average person .... take a break from painting every 20-30 minutes and clean out your brush to prevent buildup in the body use a little dish soap as your last wash it will keep the brush soft and allow it to stay soft by allowing paint to wash off over and over again... always allow your brushes to dry dont keep them wet or in a solution all the time... last but not least a brush comb or a fingernail brush to scrub out your brushes when washing helps also.... enjoy	1.0	Maintenance	yes	both		93
4144	570	B00002ND64	A1ZJ3OO432FQM	Tools & Home Improvement	2	Always check the expiration dates to make sure that they are charged correctly if you need them.	1.0	Maintenance	yes	after		17
4172	574	B00002X20W	A1EH2S92FHWZRP	Tools & Home Improvement	3	I also use this for pruning shrubs around the yard.	1.0	Alternative use	yes	after		10
4176	575	B00002X232	A3QAY6M3VR147X	Tools & Home Improvement	3	I use this miter box with a Stanley Sharptooth rip saw instead of the cross-cut saw and it work great.	1.0	Complementary product	yes	both		19
4245	588	B0000302XT	A34SNV6K27YBRW	Tools & Home Improvement	9	)Also, a tip I found useful: I would recommend that instead of having to fish in the small plastic bag of contours whenever you want to change contours, cut a piece of 1 inch by 1/2 inch wood strip to fit into the Dremel bag, and drive ten - 2 inch wire brads into it, and slip the 10 contours onto the brads.	1.0	Usage	no	after		58
4249	589	B0000302Y1	A2N07TZLFCI0O9	Tools & Home Improvement	2	If you want a tool for a project, or something where you will be using th tool a lot, get a corded dremel.	1.0	Warning	yes	before		23
4306	595	B00003CYPK	A22Z554ZQ8NFPC	Sports & Outdoors	7	The raquets are plastic and it would be pretty easy to break them if you dont take care of them.	1.0	Warning	yes	before		20
4338	602	B00003XAKR	A2F8EOU79DK8DG	Baby	5	The only reason I took off one star is because its a little stiff and he was resistant to having it on his bed at first.	1.0	Warning	yes	before		26
4355	605	B000046S3W	A2O30DLTXMOZN5	Baby	2	Cons - harder for an adult to quickly put together and take apart, doesnt keep little extremely curious fingers out of the top hole area (though they cant reach the part that would shock them), and doesnt stop our son from unplugging the cord since there is space for the cord to be pulled upward so that the plug comes out of the socket.	1.0	Warning	yes	before		63
4374	609	B0000488W2	A3JEFPEUXUS0I	Baby	6	In less than 1 hour I was able to unpack, read instructions, plan, get my tools, and have it done in 4 doors.	1.0	First time use	yes	after		21
4375	609	B0000488W2	A3JEFPEUXUS0I	Baby	7	I think it wont work with hollow doors or maybe doors that are too thick but mine were pretty standard.	1.0	Warning	yes	before		20
4419	617	B00004OCHZ	A3F4G1G2RLUNZB	Tools & Home Improvement	2	My biggest complaint is that I just changed the knives for the first time and now the thickness is off a little from one side to the other.	1.0	Warning	yes	before		28
4435	620	B00004R8O3	A1AXPGFCOQEXA1	Tools & Home Improvement	1	The battery worked well when i first got it but after a year it was pooped out and would not take much of a charge.	1.0	Warning	yes	before		25
4451	625	B00004R9LG	A3FVE3QJQJYASB	Tools & Home Improvement	2	Plastic is flexible and does not provide support for small pieces.	1.0	Warning	yes	before		11
4496	634	B00004RH2P	A3ETMT9VBMKG30	Tools & Home Improvement	1	Sturdy and works but I failed to notice that they dont have any way to lock into a spring chuck on a bit driver.	1.0	Warning	yes	before		24
4499	635	B00004RHAT	A3T325VMAVCMKY	Tools & Home Improvement	1	The instructions dont tell you that when attaching to the Dewalt 41/2 grinder, you actually have to remove the washer assembly that you normally dont remove when using a regular grinding wheel.	1.0	Usage	no	after		31
4503	636	B00004RHBF	A93KNZVY87PCR	Tools & Home Improvement	1	This is a great deal for those that need masonry bits handy, but dont plan on using them all the time.	1.0	Population segment	yes	before		21
4586	645	B00004S90L	A2MW5O8JHDH3AW	Tools & Home Improvement	27	Another tip that I find useful, although not absolutely necessary is to push the plunger (reciprocating shaft) into the fullest upright position before blade insertion/removal.	1.0	Workaround	yes	after		24
4641	652	B00004SBBP	AUQZTM1IIQFJ7	Tools & Home Improvement	6	I was concerned to read that P/C tells you to only use P/C nails in their owners manual, after I had bought some B&C; nails, but no problems, it fires them also!!!	1.0	Alternative use	yes	both		31
4649	655	B00004SBD2	A1027EV8A9PV1O	Tools & Home Improvement	1	If you are working with small electronic parts the Channellock 326 six-inch long nose plier with side cutter is a must in your tool box.	1.0	Population segment	yes	before		23
4664	656	B00004SDAP	A1GHUN5HXMHZ89	Toys & Games	12	If I have any complaints, it is the newest versions are cheaply made in comparison to the original version.	1.0	Warning	yes	before		19
4695	662	B00004SQM9	A3FPTGF6TRQGA6	Sports & Outdoors	5	Not only are these locks more convenient, they fit my Yugo M57 Tokarev!	1.0	Usage	yes	after		12
4696	662	B00004SQM9	A3FPTGF6TRQGA6	Sports & Outdoors	6	I have several different pistols/revolvers and so far these locks fit every one.	1.0	Usage	yes	after		12
4711	664	B00004SUOS	A2VRXCY7PNSUN2	Tools & Home Improvement	11	(2) I can use regular sandpapers from local store, no need to mail order sand discs (more convenient and probably cost less).	1.0	Maintenance	yes	both		21
4807	677	B00004T7RJ	A2ND2A4NS1DS98	Tools & Home Improvement	2	The thing was worthless; The automatic mechanism would not work.	1.0	Warning	yes	before		10
4833	684	B00004T9KU	A3PY28N30RWXK4	Tools & Home Improvement	6	Expect to build a real table for it.	1.0	Usage	no	before		8
4859	687	B00004TBQ2	A2WD3G8KAUD4YZ	Tools & Home Improvement	3	The downside is the blades cannot be sharpened, however, they can be replaced!	1.0	Warning	yes	both		14
4894	691	B00004TI25	A3KDRLIBWILPMJ	Tools & Home Improvement	5	When putting heat into a wall, for example, you want to deliver as much airflow as possible - not just heat - so getting closer with the lower temp is actually better.	1.0	Usage	yes	after		30
4895	691	B00004TI25	A3KDRLIBWILPMJ	Tools & Home Improvement	6	WARNING - the low temp setting of 570 degrees is still hot enough to start a wood or paper fire!	1.0	Warning	yes	after		18
4896	691	B00004TI25	A3KDRLIBWILPMJ	Tools & Home Improvement	7	Be careful!It is also helpful in some applications to deliver heat without overheating.	1.0	Warning	yes	after		14
4912	695	B00004TQ2P	ASGL4FBI6GZW0	Sports & Outdoors	3	The first is that ball came 3/4 inflated.	1.0	First time use	no	after		7
4980	709	B00004U3D9	A22SPN6089TKYW	Toys & Games	2	The biggest problem is that the oven door and dishwasher door are hinged at the bottom, not the side.	1.0	Warning	yes	before		19
5045	717	B00004UDGW	A1IJN0CERNHQUQ	Tools & Home Improvement	3	I also use them for shaping items that I am not able to carve easily, and need to make concave or convex curves.	1.0	Alternative use	yes	both		23
5091	726	B00004W4B4	AJ7XTRLI3EUC4	Tools & Home Improvement	9	Keep in mind it does not beep that load, but this is a common complaint with these things.	1.0	Usage	no	after		18
5222	750	B00004Y2UT	A2A039TZMZHH9Y	Musical Instruments	5	I guess I should read instructions more carefully.	1.0	Other	no	after		8
5231	751	B00004Y2UT	A2NYK9KWFMJV4Y	Musical Instruments	8	Bottom line: carefully compare both cables using your own instrument and amp - if possible - before making a purchase decision.	1.0	Warning	yes	before		19
